symbol,name,isin,sector,industry,country,exchange
METXW,,DE000A0N3EU3,,,,
MKS,,CA65685J1030,,,,
MLACW,,FR0010717579,,,,
MNDI,,IT0001469383,,,,
MONCW,,NET000CRCL01,,,,
MONY,,US46429B2593,,,,
MPACR,,FI4000507488,,,,
MTACW,,KYG3166N1060,,,,
MTO,,KR7009680000,,,,
NAACW,,CA65389P1080,,,,
NFTY,,US4540891037,,,,
NG.,,JO3127011018,,,,
NRACW,,FR0004170017,,,,
NXT,,US98951C1062,,,,
NXTG,,JO2103411010,,,,
OCDO,,GB0034202076,,,,
OCDO,,GB0034202076,,,,
OEPWW,,NET000MOTEL1,,,,
OLITU,,US68218C2070,,,,
OMCL,,US68213N1090,,,,
ONEQ,,US3159128087,,,,
OPINL,,CA1129006831,,,,
OSB,,GB00BLDRH360,,,,
OSTRW,,INE735G01010,,,,
OXB,,INE063E01046,,,,
OXIG,,INE063E01046,,,,
PAEWW,,KR7005800008,,,,
PDP,,US46137V8375,,,,
PEY,,US46137V5637,,,,
PEZ,,US46137V8037,,,,
PFDRW,,AU0000104580,,,,
PFF,,US4642886877,,,,
PFI,,US46137V8607,,,,
PFM,,US46137V5066,,,,
PGJ,,US46137V5710,,,,
PHICW,,INE029L01018,,,,
PHO,,US46137V1420,,,,
PID,,US46137V5488,,,,
PIE,,US46138E8672,,,,
PIN,,US46137R1095,,,,
PIO,,US46138E6510,,,,
PIZ,,US46138E8755,,,,
PKW,,US46137V3087,,,,
PLW,,US46138E1073,,,,
PNL,,SG1R37924805,,,,
PNQI,,US46137V5306,,,,
POWRW,,DE000A2AA5A0,,,,
PPH,,US92189F6925,,,,
PRFZ,,US46137V5975,,,,
PRN,,US46137V8458,,,,
PSAGW,,IT0005023038,,,,
PSC,,US74255Y6077,,,,
PSCC,,US46138E1727,,,,
PSCD,,US46138E1800,,,,
PSCE,,US46138E1644,,,,
PSCF,,US46138E1560,,,,
PSCH,,US46138E1495,,,,
PSCI,,US46138E1230,,,,
PSCM,,US46138G2012,,,,
PSCT,,US46138E1156,,,,
PSCU,,US46138G4091,,,,
PSH,,CA36175A1003,,,,
PSL,,US46137V8862,,,,
PSON,,KR7005810007,,,,
PTF,,US46137V8110,,,,
PTH,,US46137V8524,,,,
PUI,,US46137V7955,,,,
PXI,,US46137V8789,,,,
PYZ,,US46137V7047,,,,
QABA,,US33736Q1040,,,,
QAT,,US46434V7799,,,,
QCLN,,US33733E5006,,,,
QLT,,US3516805096,,,,
QQ,,AU000000QVE7,,,,
QQEW,,US3373441050,,,,
QQQ,,US46090E1038,,,,
QQXT,,US33733E4017,,,,
QRTEP,,US74915M3088,,,,
QYLD,,US37954Y4834,,,,
QYLG,,NET00XBRIX11,,,,
RAT,,IT0004724107,,,,
RCH,,DE000A1RFMY4,,,,
RCLFW,,CA5372261027,,,,
RCP,,US06738C8284,,,,
RDSA,,JP3967450002,,,,
RDVY,,US33738R5063,,,,
REDD,,GB00B7TW1V39,,,,
RENT3,,JP3981850005,,,,
RFDI,,JO2103411010,,,,
RFEM,,US33739P7078,,,,
RFEU,,US33739P8068,,,,
RING,,US46434G8556,,,,
RMG,,INE655V01019,,,,
ROCLU,,US77867R2094,,,,
ROR,,JP3982200002,,,,
RSW,,US78355W7671,,,,
RTH,,US92189F6842,,,,
RTO,,INE535D01029,,,,
RVPHW,,INE159A01016,,,,
RYTM,,US76243J1051,,,,
SAIN,,JP3424980005,,,,
SBRY,,INE431C01023,,,,
SBUX,,US8552441094,,,,
SCPS,,US8091711015,,,,
SCZ,,US4642882736,,,,
SDACW,,INE001A01036,,,,
SDP,,US74347B7221,,,,
SDR,,AU000000SSM2,,,,
SEIT,,JP3722200007,,,,
SHB,,CNE100003P17,,,,
SHIPZ,,JP3390360000,,,,
SHV,,US4642886794,,,,
SHY,,US4642874576,,,,
SKG,,NO0010861115,,,,
SKOR,,US33939L7617,,,,
SKYY,,US33734X1928,,,,
SLCRW,,INE222U01010,,,,
SLQD,,US46434V1008,,,,
SLVO,,US22542D4491,,,,
SMCP,,US26922A8348,,,,
SMH,,US92189F6768,,,,
SMIN,,US46429B6149,,,,
SNLN,,US4301017749,,,,
SNRHW,,JP3300950007,,,,
SNSR,,US37954Y7803,,,,
SOCL,,US37950E4162,,,,
SONG,,CNE000000KY5,,,,
SOXX,,US4642875235,,,,
SPKAR,,JP3163800000,,,,
SQQQ,,US74347G4082,,,,
SRET,,US37950E1275,,,,
SSAAW,,FI4000507488,,,,
SSE,,FR0013459369,,,,
SVS,,SE0014808853,,,,
SXS,,SE0016609499,,,,
SYNC,,GG00B8P59C08,,,,
SYNT,,JP3180800009,,,,
SZZLU,,US83014E2081,,,,
TATE,,GB0008754466,,,,
TBCPW,,CA22821L1040,,,,
TDIV,,US33738R1187,,,,
TEKKW,,DE000A2BPK34,,,,
TIRX,,KYG8884K1022,,,,
TLGYU,,KYG8656T1177,,,,
TLT,,US4642874329,,,,
TQQQ,,US74347X8314,,,,
TUR,,US4642867158,,,,
TUSA,,US33733E7085,,,,
UAE,,US46434V7617,,,,
UKW,,US74347R5110,,,,
ULE,,US74347W8745,,,,
ULVR,,INE481G01011,,,,
USIG,,AU000000GNG0,,,,
USLB,,US46138E4127,,,,
V,,US92826C8394,,,,
VBNK,,CA92512J1066,,,,
VCIT,,US92206C8709,,,,
VCLT,,US92206C8139,,,,
VCSH,,US92206C4096,,,,
VCT,,GB00B17B3479,,,,
VEIL,,INE576B01019,,,,
VENAR,,AU000000VMC0,,,,
VENAW,,AU000000VMC0,,,,
VGIT,,US92206C7065,,,,
VGLT,,US92206C8477,,,,
VGSH,,US92206C1027,,,,
VHNAU,,VGG9320Z1255,,,,
VMBS,,US92206C7719,,,,
VNQI,,US9220426764,,,,
VONE,,US92206C7305,,,,
VONG,,US92206C6802,,,,
VONV,,US92206C7149,,,,
VRIG,,US46090A8797,,,,
VTHR,,US92206C5994,,,,
VTWG,,US92206C6232,,,,
VTWO,,US92206C6646,,,,
VTWV,,US92206C6497,,,,
VWOB,,US9219468850,,,,
VXUS,,US9219097683,,,,
VYMI,,US9219467944,,,,
WIZZ,,FR00140047H7,,,,
WOOD,,US4642881746,,,,
WTB,,RU000A0JP5V6,,,,
WTW,,IE00BDB6Q211,,,,
WWH,,CNE000001DJ9,,,,
XPP,,US74347X8801,,,,
XT,,US46434V3814,,,,
ZINGU,,US30320F2056,,,,
