,symbol,isin,name,market
119,ALDRV.PA,FR0013088606,DRONE VOLT,Euronext Growth Paris
120,ALDUB.PA,FR0004030708,ENCRES DUBUIT,Euronext Growth Paris
121,ALDV.PA,BE0974269012,ADC SIIC,Euronext Paris
122,ALEAC.PA,IT0005351504,EDILIZIACROBATICA,Euronext Growth Paris
123,ALECO.PA,FR0013534617,ECOMIAM,Euronext Growth Paris
124,ALECP.PA,FR0010490920,EUROPACORP,Euronext Growth Paris
125,ALECR.PA,FR0013256518,EUROFINS CEREP,Euronext Growth Paris
126,ALEMG.PA,FR0000075343,EUROMEDIS GROUPE,Euronext Growth Paris
127,ALEMV.PA,FR0013356755,EMOVA GROUP,Euronext Growth Paris
128,ALENE.PA,FR0011915339,ENERTIME,Euronext Growth Paris
129,ALENO.PA,FR0014004974,ENOGIA,Euronext Growth Paris
130,ALENR.PA,FR0000045122,ENTREPRENDRE,Euronext Growth Paris
131,ALENT.PA,FR0010424697,ENTREPARTICULIERS,Euronext Growth Paris
132,ALEO2.PA,FR0010465534,EO2,Euronext Growth Paris
133,ALERS.PA,FR0013240934,EUROBIO-SCIENTIFIC,Euronext Growth Paris
134,ALESA.PA,FR0011490648,ECOSLOPS,Euronext Growth Paris
135,ALESE.PA,FR0014004362,ENTECH,Euronext Growth Paris
136,ALESK.PA,FR0000035818,ESKER,Euronext Growth Paris
137,ALEUA.PA,FR0010844001,EURASIA GROUPE,Euronext Growth Paris
138,ALEUP.PA,FR0013514114,EUROPLASMA,Euronext Growth Paris
139,ALEXA.PA,FR0000064164,EXACOMPTA CLAIREF.,Euronext Growth Paris
140,ALFBA.PA,FR0004034593,FASHION B AIR,Euronext Growth Paris
141,ALFEN.AS,NL0012817175,ALFEN,Euronext Amsterdam
142,ALFLE.PA,FR0000074759,FLEURY MICHON,Euronext Growth Paris
143,ALFOC.PA,FR0012419307,FOCUS HOME INT,Euronext Growth Paris
144,ALFPC.PA,FR0010485268,FOUNTAINE PAJOT,Euronext Growth Paris
